"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"163","SL",0,0,NA,83.5,0.29,0.43
"164","SV",0,1,NA,80.9,1.16,-0.2
"165","SL",0,0,NA,84.8,0.11,0.08
"166","CU",0,1,0.893,78.3,1.44,0.31
"167","CU",0,1,NA,83.8,0.6,-0.95
"168","SL",0,1,NA,90.7,-0.04,0.3
"169","SL",0,1,0.329,86.4,-0.06,0.63
"170","FC",0,0,NA,85.9,0.15,0.81
"171","SL",0,1,NA,83.3,0.63,-0.36
"172","KC",0,0,NA,81.4,0.59,-1.54
"173","SL",0,1,NA,81.8,0.92,0.21
"174","SL",1,1,NA,90.2,-0.17,0.24
"175","FC",0,1,0.595,84,0.39,0.99
"176","FC",1,1,NA,88.4,0.02,0.98
"177","FC",0,0,NA,92.2,0,0.94
"178","SL",0,1,NA,85.7,0.12,0.07
"179","SL",0,0,NA,88.8,0.09,0.22
"180","SL",0,1,NA,86.7,0.4,-0.03
"181","FC",0,1,0.411,85.8,0.35,0.51
"182","FC",0,1,NA,86.3,0.31,0.29
"183","SL",1,1,NA,86.5,0.35,0.24
"184","KC",0,1,NA,81.6,0.41,-1.22
"185","KC",0,0,NA,84.4,0.13,-0.23
"186","SL",0,1,NA,83.5,0.28,0.08
"187","SL",0,1,0.777,91,0.4,0.28
"188","SL",0,0,NA,86.5,0.26,0.14
"189","SL",0,1,NA,82.5,0.8,0.49
"190","CU",0,0,NA,79.4,0.95,-0.74
"191","SL",0,1,0.314,79.3,1.61,-0.19
"192","FC",0,1,1.181,84,0.39,0.76
"193","SL",0,0,NA,77.8,0.14,-0.16
"194","SL",0,1,NA,81.2,1.43,-0.05
"195","SL",0,1,1.125,78.9,0.05,-0.16
"196","CU",0,0,NA,79.4,0.91,0.37
"197","KC",0,1,0.247,82,0.68,-1.27
"198","CU",0,0,NA,83.4,0.26,-0.69
"199","SL",0,0,NA,89.8,0.23,0.76
"200","SL",0,0,NA,83.1,0.39,0.1
"201","SL",0,0,NA,90.2,0.62,0.06
"202","SL",0,1,NA,81.3,1.11,0.76
"203","SL",0,0,NA,85.6,0.51,-0.24
"204","FC",0,1,0.016,94.2,0.41,0.79
"205","SV",0,0,NA,77.7,1.31,-0.02
"206","CU",0,1,NA,79,1.31,-1.28
"207","CU",0,1,NA,79.1,1.01,-0.68
"208","SV",0,1,NA,76,1.52,-0.75
"209","SL",1,1,NA,84.4,0.5,0.32
"210","FC",0,0,NA,93.2,0.04,1.03
"211","SL",0,0,NA,90.2,0.15,0.32
