"","pitch_type","whiff","swing","estimated_woba_using_speedangle","release_speed","pfx_x","pfx_z"
"7196","FC",0,0,NA,85.9,0.31,0.09
"7197","SL",1,1,NA,83.5,0.39,0.44
"7198","SL",0,1,0.426,88.9,-0.03,0.3
"7199","CU",0,1,NA,77.4,1.32,-0.26
"7200","CU",0,1,NA,79.1,1.08,-0.69
"7201","SL",0,1,0.206,86.3,0.57,0.15
"7202","SL",1,1,NA,80.5,1.03,0.36
"7203","SL",0,0,NA,85.6,0.6,0.19
"7204","SL",0,1,1.98,83.9,0.34,0.36
"7205","SL",0,0,NA,85.1,0.42,-0.45
"7206","KC",0,0,NA,88.2,-0.04,-0.07
"7207","SL",0,0,NA,80.5,0.58,-0.36
"7208","CU",1,1,NA,74.5,0.87,-1.44
"7209","KC",0,0,NA,80.7,0.38,-1.29
"7210","SV",0,1,0.26,80.4,1.4,-0.03
"7211","SL",0,1,0.206,82.3,0.75,-0.43
"7212","CU",0,1,1.11,77.6,0.76,-1.44
"7213","SL",0,0,NA,85.9,0.5,-0.03
"7214","SL",0,0,NA,89.1,-0.24,0.8
"7215","FC",0,0,NA,88.6,0.4,0.42
"7216","FC",0,0,NA,89.2,0.15,0.87
"7217","SL",0,1,0.074,84.4,0.59,0.43
"7218","CU",1,1,NA,75.6,1.09,-0.57
"7219","CU",0,1,NA,77.9,0.52,-0.22
"7220","FC",0,0,NA,84.6,0.19,0.59
"7221","SL",0,0,NA,82.6,0.01,0.35
"7222","SL",0,0,NA,82.7,1.02,-0.27
"7223","SL",0,1,0.01,81.5,0.58,-0.24
"7224","SL",0,1,0.049,84.4,-0.4,0.75
"7225","FC",0,1,NA,88.4,-0.67,0.83
"7226","SL",0,0,NA,80,0.57,-0.43
"7227","FC",0,1,NA,87.9,0.62,0.06
"7228","KC",0,1,0.058,82.8,0.46,-0.91
"7229","CU",0,1,0.748,76.8,0.69,0.09
"7230","SL",0,0,NA,81.6,0.28,0.44
"7231","SL",0,1,0.515,91.8,-0.04,0.69
"7232","CU",1,1,NA,83.8,0.12,0.06
"7233","CU",1,1,NA,82.6,0.69,-0.84
"7234","SL",0,0,NA,83.3,0.02,0.44
"7235","SL",0,0,NA,88.7,0.68,0.22
"7236","CU",0,0,NA,77.4,1.11,-0.6
"7237","SL",1,1,NA,88.7,-0.17,0.5
"7238","SL",0,1,0.106,84.5,0.08,0.39
"7239","SL",1,1,NA,85.3,0.3,0.04
"7240","SL",0,0,NA,83.9,0.22,0.34
"7241","KC",0,0,NA,82.5,0.99,-0.86
"7242","SL",0,0,NA,81.7,0.25,0.14
"7243","FC",0,0,NA,84.9,0.28,0.86
"7244","SL",0,1,NA,83.7,0.2,0.29
"7245","SL",0,0,NA,78.6,1.04,0.71
"7246","SL",0,0,NA,84.6,-0.68,0.59
"7247","CU",0,1,NA,83.1,1.41,-0.31
"7248","FC",0,0,NA,86.8,0.56,-0.24
"7249","CU",0,1,NA,76.8,1.21,0.28
"7250","SL",0,0,NA,83.1,0.03,0.41
"7251","CU",0,0,NA,77.8,0.77,-1.33
"7252","SL",0,0,NA,83.1,0.61,0.1
"7253","SL",0,1,NA,86.2,0.55,0.26
"7254","SL",0,0,NA,86.8,0.65,-0.01
"7255","CU",0,1,0.238,79,0.88,-0.92
"7256","SL",0,1,0.787,81.4,0.59,0.05
"7257","CU",0,0,NA,81.8,0.63,-1.21
"7258","KC",0,0,NA,81.3,1.07,-0.86
"7259","KC",0,0,NA,83.7,0.31,-0.84
"7260","SL",1,1,NA,80.5,0.55,-0.4
"7261","CU",0,0,NA,76.8,0.7,-1.6
"7262","SL",0,1,NA,84.4,0.34,0.43
"7263","CU",0,1,NA,83.9,0.01,0.16
"7264","FC",0,1,0.164,88.6,0.69,0
"7265","FC",0,1,0.388,89.4,-0.25,1.12
"7266","FC",0,0,NA,91.1,0.05,0.83
"7267","SL",0,0,NA,85.3,0.9,0.19
"7268","SL",0,0,NA,85.5,0.32,0.36
"7269","SL",0,1,0.442,85.3,0.2,-0.39
"7270","KC",0,1,NA,80.2,0.97,-0.81
"7271","SL",0,1,NA,87.1,0.72,-0.06
"7272","FC",0,1,NA,88.6,0.49,0.14
"7273","CU",0,0,NA,78.5,1.11,-0.51
"7274","FC",0,0,NA,87.2,0.39,0.77
"7275","CU",0,1,0.45,83.9,0.01,0.04
"7276","SL",0,0,NA,88.3,-0.03,0.86
"7277","SL",0,0,NA,84.5,0.4,0.59
"7278","CU",0,0,NA,76.6,1.14,-1.06
"7279","CU",0,0,NA,77.5,0.95,-1.08
"7280","SL",0,0,NA,81.7,0.38,-0.08
"7281","SL",0,1,NA,87.6,0.27,0.26
"7282","KC",0,0,NA,80,0.71,-1.04
"7283","CU",1,1,NA,77.6,0.77,-1.27
"7284","FC",0,0,NA,86.1,0.41,0.43
"7285","SL",0,1,0.226,82,0.41,-0.41
"7286","CU",0,0,NA,78,1.14,-1.11
"7287","FC",0,0,NA,88,0.52,0.13
"7288","FC",0,0,NA,88.2,0.23,0.44
"7289","SL",1,1,NA,86.8,0.83,-0.06
"7290","SL",0,0,NA,82.9,0.23,0.17
"7291","FC",0,1,0.011,87.4,0.37,0.79
"7292","SL",0,0,NA,84.3,0.23,-0.08
"7293","SL",0,0,NA,89.1,0.23,0.74
"7294","FC",0,0,NA,85.5,0.27,0.6
"7295","FC",0,0,NA,88.7,0.25,0.32
"7296","SL",0,1,NA,84.7,0.6,0.03
"7297","KC",0,0,NA,83,0.44,-1.01
"7298","FC",0,0,NA,90.9,-0.9,0.78
"7299","SL",0,1,NA,85.4,0.29,0.21
"7300","SL",1,1,NA,85.2,0.97,0.08
"7301","SL",0,0,NA,82.1,0.45,-0.44
"7302","CU",0,0,NA,79.3,1.35,-0.49
"7303","SL",0,1,0.174,83.5,0.04,0.06
"7304","SL",0,0,NA,85,0.19,0.19
"7305","SV",0,1,NA,77.1,1.15,-0.16
"7306","CU",0,1,NA,79.8,0.99,-0.89
"7307","SL",0,1,NA,87.7,0.67,0.48
"7308","SL",1,1,NA,84.8,0.58,0.12
"7309","KC",0,0,NA,80.1,0.79,-1.22
"7310","KC",0,0,NA,83.2,0.55,-1.13
"7311","KC",0,0,NA,85.2,-0.3,-0.3
"7312","FC",0,1,NA,86.9,0.09,0.71
"7313","CU",0,1,1.153,78.3,0.95,-0.78
"7314","SL",0,1,NA,81.5,0.46,0.12
"7315","SL",0,1,NA,87.5,0.08,0.32
"7316","SL",0,1,NA,82.3,0.85,0.33
"7317","SL",0,0,NA,84.3,0.13,0.58
"7318","SL",0,0,NA,83.6,-0.2,0.71
"7319","SL",1,1,NA,82.6,0.47,0.13
"7320","SL",0,0,NA,87.1,0.28,0.4
"7321","SL",0,1,NA,88,0.29,0.29
"7322","SL",0,0,NA,88.5,-0.25,0.34
"7323","SL",0,1,0.473,84.5,0.17,0.34
"7324","SL",0,0,NA,90.8,0.04,0.64
"7325","SL",0,1,0.004,80.5,1.3,0.75
"7326","SL",0,0,NA,82.9,0.12,0.27
"7327","CU",0,1,NA,84.1,0.07,-0.05
"7328","KC",1,1,NA,88.4,-0.01,-0.21
"7329","FC",1,1,NA,88.6,0.31,0.67
"7330","CU",0,1,0.662,80.3,0.6,-0.54
"7331","SL",0,0,NA,81.7,0.42,-0.3
"7332","SL",0,1,NA,85.2,0.4,-0.04
"7333","SL",0,1,0.264,86.8,0.31,0.52
"7334","SL",0,0,NA,80.7,0.35,-0.27
"7335","CU",0,1,0.268,77.2,0.9,-1.5
"7336","SL",0,0,NA,85.3,0.54,0.08
"7337","SL",0,0,NA,88,0.43,0.56
"7338","FC",0,0,NA,87.5,0.69,0.23
"7339","CU",0,0,NA,84.1,1.55,-0.16
"7340","FC",0,1,NA,88.5,0.17,0.9
"7341","SL",0,0,NA,83.1,0.28,0.37
"7342","CU",1,1,NA,77,1,-1.51
"7343","SL",0,0,NA,87.6,0.36,0.07
"7344","SL",0,0,NA,81.3,-0.17,0.39
"7345","SL",0,0,NA,78.8,0.68,-0.36
"7346","SL",0,1,NA,83.8,0.13,0.42
"7347","SL",0,0,NA,91.6,0.08,0.8
"7348","FC",0,0,NA,87.3,0.09,0.79
"7349","FC",1,1,NA,86.6,0.72,0.18
"7350","SL",0,0,NA,84.6,0.12,0.13
"7351","FC",0,1,NA,89.4,-0.18,0.54
"7352","KC",1,1,NA,77.3,0.82,-0.8
"7353","CU",0,0,NA,79.6,1.19,-0.99
"7354","SL",0,1,NA,82.8,0.7,-0.16
"7355","SL",0,0,NA,86.7,0.41,0.35
"7356","SL",0,1,0.262,87.8,-0.26,0.36
"7357","FC",0,0,NA,81.4,0.34,-0.44
"7358","SL",0,0,NA,89,-0.02,0.69
"7359","SL",0,1,0.206,93.9,-0.25,0.62
"7360","SL",0,0,NA,82.7,0.46,0.11
"7361","KC",0,0,NA,81.3,0.99,-0.83
"7362","SL",1,1,NA,83.6,-0.06,0.45
"7363","CU",0,1,NA,77.2,0.82,0.23
"7364","SL",0,1,NA,87.1,0.43,0.18
"7365","FC",0,1,0.03,88.6,-0.2,0.87
"7366","KC",0,0,NA,82.3,0.11,-0.91
"7367","FC",0,1,0.433,88.1,0.24,0.79
"7368","SL",0,0,NA,85.4,0.37,0.01
"7369","SL",1,1,NA,87.7,0.13,0.53
"7370","CU",1,1,NA,76.9,0.88,-1.34
"7371","FC",0,0,NA,86.7,0.62,0.17
"7372","SL",0,0,NA,81.4,0.16,0.32
"7373","CU",0,0,NA,77.7,0.99,-1.1
"7374","SV",0,0,NA,81,1.22,-0.19
"7375","FC",0,0,NA,87.1,0.79,0.16
"7376","SL",1,1,NA,87.5,0.13,0.67
"7377","SL",0,0,NA,83.3,0.18,0.29
"7378","CU",0,0,NA,76.6,0.83,-1.57
"7379","SL",0,1,NA,85.3,0.25,0.56
"7380","KC",0,1,0.137,81.1,0.8,-1.06
"7381","CU",0,1,0.432,81,0.52,-0.84
"7382","SL",0,1,NA,88.1,0.49,0.34
"7383","SL",0,1,NA,82.4,0.81,-0.34
"7384","FC",0,1,NA,87.2,0.35,1.01
"7385","SL",0,0,NA,85,0.52,-0.15
"7386","SL",1,1,NA,83.8,0.91,-0.09
"7387","SL",0,0,NA,83.2,0.19,0.23
"7388","CU",0,0,NA,74.8,1.15,-0.68
"7389","CU",0,0,NA,81.3,0.1,-0.24
"7390","SL",1,1,NA,84.9,0.41,0.46
"7391","SL",0,0,NA,81.1,0.28,-0.2
"7392","FC",0,0,NA,87.6,0.5,0.58
"7393","SL",0,0,NA,87,0.22,0.55
"7394","SL",0,0,NA,87,0.1,0.21
"7395","CU",1,1,NA,78.8,0.91,-1.46
"7396","SL",0,0,NA,82.6,0.35,0.49
"7397","SL",0,1,NA,84.8,0.46,0.58
"7398","SL",0,0,NA,79.7,0.65,0.54
"7399","CU",0,0,NA,79.3,0.83,-1.3
"7400","SL",0,0,NA,90.1,0.48,0.43
"7401","CU",0,0,NA,81.8,0.08,0.04
"7402","KC",1,1,NA,84.4,0.01,-0.7
"7403","FC",0,0,NA,87.5,0.39,-0.4
"7404","SL",0,1,0.044,86,0.15,0.2
"7405","SL",0,0,NA,83.2,0.5,-0.38
"7406","SL",0,1,1.08,85.6,0.42,-0.27
"7407","SL",1,1,NA,88.5,0.56,0.57
"7408","SV",0,1,0.078,79.9,1.2,-0.21
"7409","CU",0,0,NA,80.6,0.73,-1.46
"7410","SL",0,0,NA,81.9,0.64,0.07
"7411","SL",0,1,0.382,78,0.96,0.25
"7412","SL",1,1,NA,84.6,0.49,0.38
"7413","CU",0,0,NA,77.7,0.85,-0.08
"7414","FC",0,0,NA,87.7,0.26,0.78
"7415","SL",1,1,NA,87.4,0.39,0.25
"7416","SL",0,1,0.003,82.1,-0.46,0.57
"7417","CU",0,0,NA,77.7,0.88,0.14
"7418","SL",0,0,NA,81.6,0.7,-0.43
"7419","SL",0,0,NA,79.4,0.6,0.57
"7420","CU",0,0,NA,79.9,0.53,-1.6
"7421","SL",0,0,NA,85,0.32,0.58
"7422","SL",0,1,0.008,86.9,0.35,-0.09
"7423","FC",0,1,0.273,88.4,0.29,0.89
"7424","SL",0,1,0.852,87,0.51,0.19
"7425","SL",0,0,NA,81.6,-0.12,0.49
"7426","FC",1,1,NA,87.6,0.29,0.31
"7427","SL",1,1,NA,86.1,0.39,-0.09
"7428","CU",0,1,NA,74.3,0.77,-0.95
"7429","SL",0,1,0.243,86.2,0.2,0.28
"7430","SL",0,1,0.054,81.5,0.52,-0.59
"7431","SL",0,1,0.066,78.4,0.9,0.32
"7432","FC",0,1,NA,89.1,0.04,0.93
"7433","KC",0,0,NA,84.2,0.27,-0.96
"7434","SL",0,1,0.005,83.8,-0.03,0.68
"7435","SL",1,1,NA,86.6,0.85,0.24
"7436","CU",0,1,0.16,81.2,0.55,-0.84
"7437","SL",0,1,NA,88.5,0.44,0.2
"7438","SL",1,1,NA,81.4,0.65,0.16
"7439","FC",0,1,NA,86.1,0.17,0.95
"7440","FC",0,0,NA,86.6,-0.12,1.13
"7441","SL",0,1,0.245,87,0.34,-0.15
"7442","CU",0,1,NA,78.3,0.7,-1.47
"7443","SL",0,1,0.188,84.7,0.31,0.08
"7444","SL",1,1,NA,82.1,0.28,-0.65
"7445","SL",0,0,NA,85.9,0.23,0.68
"7446","SL",0,1,NA,87.9,0.57,0.26
"7447","SL",0,0,NA,85.2,0.24,0.08
"7448","SL",0,0,NA,87.2,-0.04,0.46
"7449","CU",0,1,0,74.9,0.97,-0.19
"7450","SL",0,0,NA,78.2,0.54,-0.57
"7451","SL",0,0,NA,83.5,0.91,0.42
"7452","SL",0,1,NA,82,0.73,-0.61
"7453","CU",0,0,NA,82.6,1.21,-0.71
"7454","SL",0,0,NA,87.3,0.19,0.22
"7455","CU",0,0,NA,82.4,-0.04,0.02
"7456","KC",0,1,NA,82.2,1.04,-0.67
"7457","CU",0,1,0.131,80.2,0.99,-1.18
"7458","SV",0,0,NA,79.5,1.57,-0.35
"7459","SL",0,0,NA,89.5,0.35,0.27
"7460","KC",0,1,0.067,80,0.94,-1.08
"7461","SL",0,0,NA,84.8,1.33,-0.36
"7462","SL",0,0,NA,85.3,0.32,-0.01
"7463","SL",1,1,NA,82.6,0.82,-0.27
"7464","KC",0,0,NA,87.6,0.18,-0.28
"7465","FC",1,1,NA,87.7,0.4,0.44
"7466","FC",0,0,NA,88.4,0.25,0.76
"7467","SL",0,1,NA,88.8,0.52,0.28
"7468","SL",0,0,NA,81,0.73,0.13
"7469","SL",0,0,NA,81.8,0.4,-0.47
"7470","SL",0,1,NA,86,0.46,0.38
"7471","FC",0,1,0.801,83.1,0.55,0.12
"7472","SL",0,0,NA,81.7,0.8,-0.29
"7473","FC",1,1,NA,87.3,0.44,0.97
"7474","FC",0,1,NA,86.7,0.34,-0.07
"7475","SL",1,1,NA,82.4,1.14,0.4
"7476","CU",0,0,NA,84.5,0.06,-0.01
"7477","SL",0,1,NA,84,0.46,0.64
"7478","CU",1,1,NA,83.3,-0.05,0.1
"7479","SL",0,0,NA,85.8,1.59,0.14
"7480","CU",0,0,NA,75.6,0.98,-0.07
"7481","FC",0,0,NA,85,0.76,0.3
"7482","SL",0,0,NA,84.3,0.39,0.03
"7483","FC",0,0,NA,86.7,0.26,0.36
"7484","FC",0,0,NA,89.1,0.39,0.48
"7485","FC",0,0,NA,87.2,0.55,0.81
"7486","SL",1,1,NA,83.5,0.35,0.17
"7487","SL",0,0,NA,83.6,0.37,0.09
"7488","FC",0,0,NA,88.1,0.24,0.45
"7489","SL",0,1,NA,85.5,0.27,0.49
"7490","SL",0,0,NA,80.3,0.59,0.11
"7491","FC",0,0,NA,88.3,0.2,0.71
"7492","FC",1,1,NA,86.5,0.32,0.51
"7493","SL",0,1,NA,80.8,0.46,-0.41
"7494","SV",1,1,NA,77.3,1.7,-0.13
"7495","SL",0,1,0.031,86.9,0.57,0.45
"7496","FC",0,0,NA,87.4,0.47,0.99
"7497","KC",0,0,NA,87.5,0.25,0.05
"7498","SL",0,1,NA,86,0.24,0.64
"7499","SL",0,1,NA,85.7,0.54,0.25
"7500","SL",0,0,NA,81.7,0.81,0.39
"7501","FC",0,1,NA,87.3,0.21,0.68
"7502","CU",0,0,NA,77.4,0.95,-1.33
"7503","CU",0,0,NA,83.6,1.13,-0.43
"7504","SL",0,1,0.99,87.1,0.18,0.68
"7505","SL",0,0,NA,85.3,0.22,0.21
"7506","CU",0,0,NA,77.1,1.03,-0.76
"7507","FC",0,1,0.532,88.3,0.37,0.65
"7508","SL",0,1,0.61,87.3,0.18,0.42
"7509","KC",0,0,NA,79.2,0.52,-0.47
"7510","SL",0,0,NA,82.9,0.5,-0.31
"7511","CU",0,0,NA,83.6,1.24,-0.32
"7512","CU",0,0,NA,77.8,0.55,-1.44
"7513","SL",0,1,NA,84.7,0.2,0.52
"7514","SL",0,0,NA,83.1,0.43,0.15
"7515","KC",0,1,0,84.8,1.38,-0.1
"7516","SL",0,0,NA,81.2,0.37,-0.4
"7517","SL",0,0,NA,85,0.19,0.35
"7518","SL",0,0,NA,82.6,0.76,0.17
"7519","SL",0,0,NA,85.8,0.39,-0.18
"7520","SL",0,0,NA,81.9,0.58,-0.42
"7521","SL",1,1,NA,85.5,-0.32,0.43
"7522","SL",0,0,NA,83.4,0.9,0.37
"7523","SL",0,0,NA,88.4,0.37,0.22
"7524","SL",1,1,NA,85.5,0.43,-0.23
"7525","SL",0,0,NA,83.7,0.68,-0.17
"7526","SL",1,1,NA,87.6,0.47,0.39
"7527","SL",0,0,NA,85.1,0.46,-0.03
"7528","SL",0,1,NA,84.9,0.25,0.11
"7529","CU",1,1,NA,76.8,0.82,-0.2
"7530","SL",1,1,NA,80.8,1.36,0.6
"7531","SL",0,0,NA,86.5,0.28,0.14
"7532","SL",0,0,NA,85.4,0.44,0.04
"7533","KC",0,0,NA,83.1,-0.03,-0.27
"7534","SL",0,0,NA,83.9,0.25,0.15
"7535","CU",0,0,NA,78.4,1.03,-1.48
"7536","CU",0,0,NA,76.5,0.76,-0.24
"7537","FC",0,1,0.762,87.7,-0.03,1.08
"7538","FC",0,1,0.893,87.8,0.47,-0.2
"7539","CU",0,1,0.219,73.3,0.8,-1.16
"7540","SL",0,0,NA,84.2,0.43,0.16
"7541","SL",0,1,NA,83,0.69,0.52
"7542","SL",0,1,1.181,83.4,0.61,0.36
"7543","CU",0,1,NA,76.4,0.77,-1.39
"7544","CU",0,0,NA,84.4,-0.01,0.02
"7545","CU",0,0,NA,78.1,0.94,-1.01
"7546","SL",0,1,NA,81.8,0.57,0.1
"7547","CU",0,1,0.103,78.2,0.76,-1.5
"7548","SL",0,0,NA,82.8,0.48,0.05
"7549","SL",0,0,NA,81.5,0.3,-0.08
"7550","SL",0,0,NA,85.5,0.65,-0.06
"7551","SL",0,0,NA,84.7,0.22,0.4
"7552","SL",0,0,NA,85.9,0.23,0.3
"7553","FC",0,1,1.627,87,0.04,0.76
"7554","SL",0,0,NA,85.2,0.22,0.31
"7555","SL",1,1,NA,85.2,0.23,0.13
"7556","SL",0,1,1.443,87,0.45,0.64
"7557","KC",0,1,0.322,85.4,-0.17,0.06
"7558","SL",1,1,NA,81.5,0.63,-0.38
"7559","SL",1,1,NA,85.3,0.53,0.52
"7560","CU",0,1,NA,84.9,0.93,-0.3
"7561","SV",0,1,0.013,78,1.66,-0.08
"7562","FC",0,1,NA,88.8,0.16,0.84
"7563","FC",0,1,1.746,87,0.28,0.26
"7564","SL",0,0,NA,81.9,0.88,-0.28
"7565","SL",0,1,NA,85.5,-0.53,0.42
"7566","CU",0,0,NA,84.1,0.71,-0.4
"7567","CU",0,1,0.779,77.8,0.97,-1.35
"7568","CU",0,1,NA,73.7,1.28,-1.15
"7569","SL",0,1,0.003,81.8,0.14,0.21
"7570","KC",0,1,0.65,83.1,0.48,-0.73
"7571","SL",0,0,NA,81.7,0.72,-0.47
"7572","SL",0,0,NA,87.4,0.21,0.59
"7573","SL",0,0,NA,87.2,0.4,0.17
"7574","SL",0,0,NA,83.1,0.56,0.3
"7575","KC",0,0,NA,77.9,0.82,-1.06
"7576","SL",0,1,0.005,85.4,0.23,0
"7577","KC",1,1,NA,81.2,0.23,-0.1
"7578","SL",0,0,NA,89.2,0.33,0.37
"7579","FC",0,0,NA,87.7,0.49,0.55
"7580","SL",0,0,NA,93.3,-0.16,0.67
"7581","CU",0,0,NA,82.9,-0.05,0.2
"7582","SL",1,1,NA,84.6,-0.06,-0.05
"7583","KC",0,0,NA,86.8,0,-0.03
"7584","FC",0,0,NA,87.8,0.43,0.54
"7585","FC",0,1,0.159,85,0.69,-0.04
"7586","SL",0,0,NA,84.5,0.56,0.17
"7587","SL",0,0,NA,83.9,0.17,-0.03
"7588","SL",0,0,NA,87.8,0.37,0.26
"7589","SL",0,0,NA,81.8,0.62,-0.49
"7590","KC",0,1,0.003,83.3,0.32,-0.65
"7591","FC",1,1,NA,87.1,0.2,0.53
"7592","SL",0,0,NA,85.3,-0.03,-0.19
"7593","SL",0,0,NA,82.5,0.39,-0.18
"7594","SL",1,1,NA,92.5,0.04,0.71
"7595","FC",0,1,NA,87.7,0.06,0.85
"7596","CU",0,0,NA,74.8,1.15,-0.44
"7597","FC",0,1,0.003,89.2,-0.14,0.95
"7598","FC",0,1,0.231,88,0.42,0.5
"7599","SL",0,1,NA,77.4,0.21,0.11
"7600","FC",0,1,NA,88.2,0.52,-0.01
"7601","SL",0,1,NA,87.5,0.38,0.3
"7602","SL",0,0,NA,87.1,0.05,0.48
"7603","SL",0,0,NA,83.4,0.47,0.3
"7604","SL",1,1,NA,88.5,0.56,0.3
"7605","SL",0,0,NA,89,0.3,0.53
"7606","SL",0,1,NA,82.8,0.47,0.46
"7607","SL",0,1,NA,83.7,-0.23,0.43
"7608","SL",0,1,NA,85.9,0.66,-0.02
"7609","SL",1,1,NA,84.8,-0.81,-0.04
"7610","CU",0,0,NA,76.7,0.84,-0.18
"7611","SL",0,1,2.018,89,0.23,0.16
"7612","KC",0,0,NA,78.8,0.68,-1.1
"7613","SL",0,1,NA,85.9,0.2,0.85
"7614","FC",0,0,NA,87.9,0.54,0.79
"7615","FC",0,0,NA,87.1,0.27,0.49
"7616","SL",0,1,NA,88.2,0.22,0.03
"7617","SL",1,1,NA,82.6,0.24,-0.27
"7618","SL",0,0,NA,83,0.62,-0.77
"7619","SL",0,0,NA,78.8,1.21,0.65
"7620","SL",0,0,NA,83.8,-0.17,0.58
"7621","FC",0,1,NA,86.8,0.33,0.17
"7622","CU",0,1,NA,78.5,0.99,-1.3
"7623","SL",0,0,NA,82.7,0.66,0.03
"7624","SL",0,0,NA,84.8,0.29,0.13
"7625","CU",0,0,NA,82.5,0.15,-0.7
"7626","SL",0,0,NA,80.5,0.86,0.31
"7627","FC",1,1,NA,86.9,0.08,0.87
"7628","SL",0,0,NA,85.8,0.49,0.36
"7629","SL",0,0,NA,79.5,0.77,-0.49
"7630","FC",0,0,NA,89.7,0.45,0.48
"7631","FC",0,0,NA,87.8,0.46,0.27
"7632","SL",0,1,NA,87.6,-0.05,0.16
"7633","CU",0,1,0.502,82.9,0.67,-1.25
"7634","CU",0,1,NA,78.4,1.1,-0.05
"7635","KC",0,0,NA,85.6,1.3,-0.51
"7636","FC",0,0,NA,86.8,0.49,-0.24
"7637","FC",0,1,0.184,87.8,0.32,0.97
"7638","SL",0,0,NA,86.1,0.55,0.31
"7639","SL",0,1,0.013,84.9,-0.9,0.19
"7640","SL",0,0,NA,87.8,0.16,0.02
"7641","CU",0,0,NA,83.6,0.11,0.07
"7642","SL",0,0,NA,83.1,0.48,-0.27
"7643","KC",0,0,NA,82.1,0.29,-0.94
"7644","SL",0,1,0.124,86.8,0.39,-0.04
"7645","FC",0,0,NA,87.1,0.53,-0.26
"7646","CU",0,0,NA,78.4,0.71,-1.15
"7647","CU",0,0,NA,82.9,1.11,-0.38
"7648","FC",0,0,NA,88,0.27,0.54
"7649","SL",0,0,NA,87.3,0.27,-0.07
"7650","SL",0,0,NA,87,0.24,0.4
"7651","CU",0,0,NA,77.6,1.26,-0.69
"7652","SL",1,1,NA,85.7,0.36,0.15
"7653","SL",0,0,NA,80.7,0.07,0.3
"7654","CU",0,1,NA,82.7,0.96,-0.26
"7655","CU",1,1,NA,79,0.79,-1.53
"7656","SL",0,1,0.555,80.6,0.85,-0.34
"7657","SL",0,1,0.008,83.2,1.06,-0.38
"7658","CU",0,0,NA,72.3,0.83,-1.35
"7659","FC",0,0,NA,87.9,0.27,0.93
"7660","SL",0,1,NA,81.5,1.37,0.03
"7661","SL",0,0,NA,86.4,0.38,0.3
"7662","FC",0,1,NA,83,0.27,0.87
"7663","SL",0,1,NA,83.6,-0.62,0.41
"7664","SL",0,0,NA,80.8,0.05,0.15
"7665","CU",0,0,NA,82,1.06,-0.52
"7666","FC",0,0,NA,88.6,0.35,0.5
"7667","SL",0,1,NA,90.6,-0.2,0.28
"7668","SL",0,1,0.033,81.9,0.87,-0.06
"7669","SL",0,1,NA,87.7,0.27,-0.23
"7670","SL",0,1,NA,84.8,0.28,0.36
"7671","CU",0,0,NA,77.6,0.66,-1.38
"7672","KC",1,1,NA,81.7,0.71,-0.93
"7673","FC",0,1,NA,88.5,0.45,0.73
"7674","SL",0,1,0.041,88.2,0.47,0.27
"7675","SL",0,0,NA,83.1,0.63,0.11
"7676","FC",0,1,0.187,87,0.31,0.92
"7677","KC",0,0,NA,86.7,-0.01,-0.37
"7678","SL",0,0,NA,83.2,0.33,-0.4
"7679","SL",0,1,0.1,84.4,0.18,-0.3
"7680","CU",1,1,NA,83.3,0.11,0.19
"7681","SL",0,0,NA,86.1,0.24,0.04
"7682","SL",1,1,NA,88.1,0.58,0.4
"7683","CU",0,0,NA,77.1,0.55,-0.71
"7684","SL",0,1,0.014,83.6,0.65,0.12
"7685","SL",0,0,NA,86.9,-0.72,0.57
"7686","SL",0,0,NA,80.8,0.21,-0.08
"7687","SL",0,0,NA,83.3,-0.96,0.22
"7688","SL",0,0,NA,82.5,0.92,0.41
"7689","SL",0,0,NA,89.7,0.28,-0.08
"7690","SL",0,1,NA,79.5,1.12,0.28
"7691","SL",0,1,NA,87.2,0.48,0.5
"7692","SL",0,1,NA,80.2,0.78,-0.23
"7693","FC",0,0,NA,88.4,0.04,0.76
"7694","SL",0,0,NA,86.8,0.39,0.21
"7695","CU",0,0,NA,77.1,0.65,-1.49
"7696","SL",0,1,0.003,82.5,0.6,-0.42
"7697","SL",0,1,NA,84.8,0.18,0.65
"7698","FC",0,0,NA,88.3,0.15,0.82
"7699","SL",1,1,NA,83.2,-0.21,0.37
"7700","SL",0,0,NA,82.6,0.25,-0.3
"7701","FC",0,1,0.219,87.6,0.15,0.73
"7702","SL",0,0,NA,79.9,0.38,-0.52
"7703","KC",0,1,0.086,81.4,0.32,-1.28
"7704","FC",0,1,NA,89.6,0.1,0.89
"7705","SL",0,0,NA,87.4,0.04,0.99
"7706","SL",1,1,NA,88.5,0.35,-0.1
"7707","CU",1,1,NA,84.8,0.14,0.16
"7708","FC",0,1,NA,87.7,0.35,0.02
"7709","SL",0,0,NA,82.6,0.57,-0.52
"7710","SL",0,1,0,80.6,0.13,0.22
"7711","SL",0,1,0,80.1,1.44,-0.03
"7712","SL",0,0,NA,85.1,-0.95,-0.16
"7713","SL",0,0,NA,81.8,0.36,-0.12
"7714","SL",0,1,NA,90.4,0.5,0.86
"7715","SL",1,1,NA,85,-0.09,-0.02
"7716","FC",0,0,NA,89.2,0.37,0.71
"7717","SL",0,1,NA,87.7,0.43,0.46
"7718","SL",1,1,NA,86,0.07,0.24
"7719","SL",0,0,NA,84.8,0.75,0.06
"7720","FC",0,1,0.382,83.5,0.56,-0.24
"7721","SL",0,1,NA,81.6,0.88,-0.18
